Homograph	Reading	Type
火	コ	on
火	ひ	kun
火	ほ	kun
月	ガツ	on
月	ゲツ	on
月	つき	kun
月	づき	personal name
犬	ケン	on
犬	いぬ	kun
五	ゴ	on
五	いつ	kun
五	い	personal name
五	いず	personal name
五	かず	personal name
五	ゆき	personal name
手	シュ	on
手	ズ	on
手	て	kun
手	た	kun
水	スイ	on
水	みず	kun
水	たいら	personal name
水	な	personal name
水	み	personal name
水	みな	personal name
水	ゆ	personal name
中	ジュウ	on
中	チュウ	on
中	なか	kun
中	あ	kun
中	うち	kun
天	テン	on
天	あま	kun
天	あめ	kun
天	そら	kun, personal name
天	かみ	personal name
天	たか	personal name
天	たかし	personal name
日	ジツ	on
日	ニチ	on
日	か	kun
日	ひ	kun
日	あき	personal name
日	あさ	personal name
日	はる	personal name
日	ひる	personal name
木	ボク	on
木	モク	on
木	き	kun
木	こ	kun
木	しげ	personal name
文	ブン	on
文	モン	on
文	ふみ	kun
文	あや	kun
文	かざ	kun
六	ロク	on
六	リク	on
六	む	kun
六	むい	kun
六	むっ	kun
六	むつ	personal name
引	イン	on
引	ひ	kun
牛	ギュウ	on
牛	ゴ	on
牛	うし	kun
牛	とし	personal name
今	コン	on
今	キン	on
今	いま	kun
元	ガン	on
元	ゲン	on
元	もと	kun, personal name
元	はじ	kun
元	あさ	personal name
元	ちか	personal name
元	はじめ	personal name
元	はる	personal name
元	まさ	personal name
元	ゆき	personal name
元	よし	personal name
戸	コ	on
戸	と	kun
戸	へ	kun
午	ゴ	on
午	うま	kun
午	ひる	kun
午	ま	personal name
公	コウ	on
公	ク	on
公	おおやけ	kun
公	きみ	kun, personal name
公	あきら	personal name
公	いさお	personal name
公	きん	personal name
公	さと	personal name
公	たか	personal name
公	ただ	personal name
公	ただし	personal name
公	とおる	personal name
公	とも	personal name
公	なお	personal name
公	ひと	personal name
公	ひろ	personal name
公	まさ	personal name
公	ゆき	personal name
止	シ	on
止	と	kun
止	さ	kun
止	とど	kun
止	や	kun
止	よ	kun
少	ショウ	on
少	すく	kun
少	すこ	kun
少	しばら	kun
少	まれ	kun
少	わか	kun
心	シン	on
心	こころ	kun
心	うら	kun
心	きよ	personal name
心	ここ	personal name
心	ご	personal name
心	さね	personal name
心	なか	personal name
心	まな	personal name
心	み	personal name
心	むね	personal name
心	もと	personal name
切	セツ	on
切	サイ	on
切	き	kun
太	タ	on
太	タイ	on
太	ダイ	on
太	ふと	kun, personal name
太	はなは	kun
太	うず	personal name
太	おお	personal name
太	たか	personal name
太	と	personal name
太	ひろ	personal name
太	ふとし	personal name
太	もと	personal name
内	ナイ	on
内	ダイ	on
内	ドウ	on
内	ノウ	on
内	うち	kun
内	い	kun
父	フ	on
父	ブ	on
父	ホ	on
父	ちち	kun
分	ブ	on
分	フン	on
分	ブン	on
分	わ	kun
分	くまり	personal name
分	ちか	personal name
分	わか	personal name
方	ホウ	on
方	かた	kun
方	かく	kun
方	ただ	kun
方	まさ	kun
毛	モウ	on
毛	ボウ	on
毛	け	kun
毛	あつ	personal name
友	ユウ	on
友	ウ	on
友	とも	kun
友	すけ	personal name
友	ゆ	personal name
区	オ	on
区	オウ	on
化	カ	on
化	ケ	on
化	ば	kun
化	か	kun
化	のり	personal name
反	ハン	on
反	タン	on
反	ホン	on
反	そ	kun
反	かえ	kun
反	そむ	kun
予	ヨ	on
予	あた	kun
予	あらかじ	kun
予	かね	kun, personal name
予	ゆる	kun
予	われ	kun
予	やす	personal name
予	やすし	personal name
欠	ケツ	on
欠	ケン	on
欠	か	kun
欠	あくび	kun
氏	シ	on
氏	うじ	kun
不	フ	on
不	ブ	on
不	ず	kun
夫	フ	on
夫	フウ	on
夫	ブ	on
夫	おっと	kun
夫	おとこ	kun
夫	それ	kun
夫	あき	personal name
夫	お	personal name
夫	すけ	personal name
支	シ	on
支	ささ	kun
支	か	kun
支	つか	kun
比	ヒ	on
比	ビ	on
比	くら	kun
比	ころ	kun
比	たぐい	kun
比	なら	kun
比	い	personal name
比	これ	personal name
比	たすく	personal name
比	とも	personal name
比	なみ	personal name
比	ひさ	personal name
仏	ブツ	on
仏	フツ	on
仏	ほとけ	kun
尺	シャク	on
尺	セキ	on
尺	さし	kun
尺	ものさし	kun
尺	わず	kun
収	シュウ	on
収	おさ	kun
収	おさむ	personal name
収	かず	personal name
収	すすむ	personal name
収	さね	personal name
収	なお	personal name
収	なか	personal name
収	のぶ	personal name
収	もと	personal name
収	もり	personal name
収	もろ	personal name
仁	ジン	on
仁	ニ	on
仁	ニン	on
仁	きみ	personal name
仁	さと	personal name
仁	と	personal name
仁	のぶ	personal name
仁	ひさし	personal name
仁	ひと	personal name
仁	ひとし	personal name
仁	ひろし	personal name
仁	まさ	personal name
仁	み	personal name
仁	めぐみ	personal name
仁	やすし	personal name
仁	よし	personal name
介	カイ	on
介	すけ	kun, personal name
介	たす	kun
介	あき	personal name
介	かたし	personal name
介	たすく	personal name
介	ゆき	personal name
介	よし	personal name
刈	カイ	on
刈	ガイ	on
刈	か	kun
凶	キョウ	on
凶	おそ	kun
凶	わざわ	kun
凶	わる	kun
互	ゴ	on
互	たが	kun
互	かたみ	kun
